시도,중분류,시군구,소분류,읍면동
서울특별시,11010,종로구,11010720,청운효자동
서울특별시,11010,종로구,11010530,사직동
서울특별시,11010,종로구,11010540,삼청동
서울특별시,11010,종로구,11010550,부암동
서울특별시,11010,종로구,11010560,평창동
서울특별시,11010,종로구,11010570,무악동
서울특별시,11010,종로구,11010580,교남동
서울특별시,11010,종로구,11010600,가회동
서울특별시,11010,종로구,11010610,종로1.2.3.4가동
서울특별시,11010,종로구,11010630,종로5.6가동
서울특별시,11010,종로구,11010640,이화동
서울특별시,11010,종로구,11010730,혜화동
서울특별시,11010,종로구,11010670,창신1동
서울특별시,11010,종로구,11010680,창신2동
서울특별시,11010,종로구,11010690,창신3동
서울특별시,11010,종로구,11010700,숭인1동
서울특별시,11010,종로구,11010710,숭인2동
서울특별시,11020,중구,11020520,소공동
서울특별시,11020,중구,11020540,회현동
서울특별시,11020,중구,11020550,명동
서울특별시,11020,중구,11020570,필동
서울특별시,11020,중구,11020580,장충동
서울특별시,11020,중구,11020590,광희동
서울특별시,11020,중구,11020600,을지로동
서울특별시,11020,중구,11020690,신당동
서울특별시,11020,중구,11020700,다산동
서울특별시,11020,중구,11020710,약수동
서울특별시,11020,중구,11020720,청구동
서울특별시,11020,중구,11020650,신당5동
서울특별시,11020,중구,11020730,동화동
서울특별시,11020,중구,11020670,황학동
서울특별시,11020,중구,11020680,중림동
서울특별시,11030,용산구,11030510,후암동
서울특별시,11030,용산구,11030520,용산2가동
서울특별시,11030,용산구,11030530,남영동
서울특별시,11030,용산구,11030710,청파동
서울특별시,11030,용산구,11030720,원효로1동
서울특별시,11030,용산구,11030570,원효로2동
서울특별시,11030,용산구,11030580,효창동
서울특별시,11030,용산구,11030590,용문동
서울특별시,11030,용산구,11030730,한강로동
서울특별시,11030,용산구,11030630,이촌1동
서울특별시,11030,용산구,11030640,이촌2동
서울특별시,11030,용산구,11030650,이태원1동
서울특별시,11030,용산구,11030660,이태원2동
